问题编号,反馈日期,角色,功能模块,问题描述,反馈人,状态分类,状态说明
#27,2025/12/19,技术支持,客户管理,客户管理界面点击查看工单目前会直接跳转到工单界面希望用小窗展示历史工单记录,Archer,功能建议,工单历史弹窗预览
#28,2025/12/19,技术支持,Dover,无法改头像希望1.0能完善此功能,Dover,功能建议,头像上传功能
#29,2025/12/19,技术支持,工单,支持工单按优先级排序/筛选,Jason,功能建议,工单排序筛选
#30,2025/12/19,技术支持,工单,增加时效管理超过规定时间还没处理完需要邮件/工单页面弹窗定时提醒技术支持,Jason,功能建议,SLA时效提醒
#31,2025/12/19,技术支持,工单,邮件自动恢复签名需要修改需要修改Ticket系统URL增加各区域技术的联系方式Whatsapp,Cody,待配置,邮件签名模板配置
#32,2025/12/19,客户,工单,客户收到的自动回复邮件模版需要修改工单入口签名要修改,SHAMY,待配置,客户邮件模板配置
#33,2025/12/19,客户,工单,未注册用户发了邮件到SUPPORT收到邮件找到TICKET SYSTEM申请注册由ADMIN审核是否通过账户申请,SHAMY,功能建议,邮件用户注册流程
#34,2025/12/19,客户,工单,工单处理进度变更时自动发送邮件提醒客户,Jason,功能建议,工单状态邮件通知
#35,2025/12/19,Admin,工单,admin账号下需要可以下载全部的TICKET各个STAFF账号下可以下载各自的TICKET,SHAMY,功能建议,工单导出功能
#36,2025/12/19,Admin,工单,TICKET状态等基本信息放右边尽量占地小把中间留给客户和员工的对话且上面有AI SUMMARY根据对话内容定期更新,SHAMY,功能建议,工单详情页布局优化
#37,2025/12/19,Admin,工单,员工和客户的对接用不同底色一目了然,SHAMY,功能建议,消息气泡样式区分
#38,2025/12/19,Admin,工单,看到新的工单需要可以识别该用户是否已注册用户还是未注册用户ADMIN可以给未注册用户注册并发送工单系统入口用户名密码,SHAMY,功能建议,用户注册状态识别
#39,2025/12/19,Admin,工单,工单REASSIGN统一入口,SHAMY,功能建议,工单重新分配入口
#40,2025/12/19,Admin,FAQ,由技术支持部提供FAQ初稿经过AI优化放到工单系统在线页面ADMIN可以用EXCEL表格导入或者其它方式导入也可以导出可以按照产品类别产品型号技术问题/故障排查类别搜索不用按发布时间等搜索,SHAMY,功能建议,FAQ批量导入导出
#41,2025/12/19,Admin,BUSINESS TYPE,BUSINESS TYPE暂时没有这个功能先屏蔽以后有需求再添加,SHAMY,待处理,暂时隐藏Business Type功能
